OriginAirportID,DestAirportID,DayOfWeek,delay_events,n,smoothed_delay_prob
10397,12173,6,0,6,0.125
10397,12173,7,0,2,0.25
10397,12191,1,5,47,0.12244897959183673
10397,12191,2,6,57,0.11864406779661017
10397,12191,3,4,37,0.1282051282051282
10397,12191,4,11,49,0.23529411764705882
10397,12191,5,9,34,0.2777777777777778
10397,12191,6,3,29,0.12903225806451613
10397,12191,7,8,35,0.24324324324324326
10397,12264,1,14,48,0.3
10397,12264,2,5,37,0.15384615384615385
10397,12264,3,4,28,0.16666666666666666
10397,12264,4,4,31,0.15151515151515152
10397,12264,5,9,42,0.22727272727272727
10397,12264,6,2,20,0.13636363636363635
10397,12264,7,9,42,0.22727272727272727
10397,12266,1,14,49,0.29411764705882354
10397,12266,2,3,51,0.07547169811320754
10397,12266,3,12,59,0.21311475409836064
10397,12266,4,11,49,0.23529411764705882
10397,12266,5,7,41,0.18604651162790697
10397,12266,6,5,31,0.18181818181818182
10397,12266,7,10,50,0.21153846153846154
10397,12339,1,9,50,0.19230769230769232
10397,12339,2,4,35,0.13513513513513514
10397,12339,3,7,33,0.22857142857142856
10397,12339,4,5,28,0.2
10397,12339,5,7,37,0.20512820512820512
10397,12339,6,4,39,0.12195121951219512
10397,12339,7,5,34,0.16666666666666666
10397,12451,1,12,48,0.26
10397,12451,2,4,53,0.09090909090909091
10397,12451,3,13,55,0.24561403508771928
10397,12451,4,10,38,0.275
10397,12451,5,11,54,0.21428571428571427
10397,12451,6,6,46,0.14583333333333334
10397,12451,7,10,48,0.22
10397,12478,1,5,10,0.5
10397,12478,2,3,16,0.2222222222222222
10397,12478,3,3,12,0.2857142857142857
10397,12478,4,2,12,0.21428571428571427
10397,12478,5,8,20,0.4090909090909091
10397,12478,6,2,11,0.23076923076923078
10397,12478,7,5,13,0.4
10397,12889,1,5,23,0.24
10397,12889,2,3,31,0.12121212121212122
10397,12889,3,17,38,0.45
10397,12889,4,6,37,0.1794871794871795
